"uri","url","timestamp","post_type","thread_role","decision","reason","confidence","joe_tag","citizens_agenda","normalized_text_duplicate","existing_record_ids"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mploqpenns2z","https://bsky.app/profile/jayrosen.bsky.social/post/3mploqpenns2z","2026-07-01T14:04:59.580Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mplruv4ibk2b","https://bsky.app/profile/jayrosen.bsky.social/post/3mplruv4ibk2b","2026-07-01T15:01:01.043Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mplrxn5ayk2b","https://bsky.app/profile/jayrosen.bsky.social/post/3mplrxn5ayk2b","2026-07-01T15:02:33.346Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mplstufen22b","https://bsky.app/profile/jayrosen.bsky.social/post/3mplstufen22b","2026-07-01T15:18:20.474Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mplun5eaos2z","https://bsky.app/profile/jayrosen.bsky.social/post/3mplun5eaos2z","2026-07-01T15:50:22.478Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","true","BSKY-00595;BSKY-00940;BSKY-01248;BSKY-01852;BSKY-01885;BSKY-01919;BSKY-02063;BSKY-02084;BSKY-02620;BSKY-02952;BSKY-03079;BSKY-03151"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mplv5z5qnc27","https://bsky.app/profile/jayrosen.bsky.social/post/3mplv5z5qnc27","2026-07-01T15:59:48.497Z","reply","self_thread_reply","context_only","clarification_question_only","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mplv77qnak27","https://bsky.app/profile/jayrosen.bsky.social/post/3mplv77qnak27","2026-07-01T16:00:28.963Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mplym2az222s","https://bsky.app/profile/jayrosen.bsky.social/post/3mplym2az222s","2026-07-01T17:01:20.640Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","true","BSKY-02190"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mplzgn2mrc22","https://bsky.app/profile/jayrosen.bsky.social/post/3mplzgn2mrc22","2026-07-01T17:16:12.768Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpm3y7nqps2x","https://bsky.app/profile/jayrosen.bsky.social/post/3mpm3y7nqps2x","2026-07-01T18:01:50.177Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpmmh2al2k2x","https://bsky.app/profile/jayrosen.bsky.social/post/3mpmmh2al2k2x","2026-07-01T22:56:27.689Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpwt335cps2h","https://bsky.app/profile/jayrosen.bsky.social/post/3mpwt335cps2h","2026-07-06T00:21:39.551Z","original","root","admit","joe_tag_documents_archive_project","0.9","true","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpwvluipyk24","https://bsky.app/profile/jayrosen.bsky.social/post/3mpwvluipyk24","2026-07-06T01:06:50.498Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpww6kznkc24","https://bsky.app/profile/jayrosen.bsky.social/post/3mpww6kznkc24","2026-07-06T01:17:18.101Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpwy7exfnk2x","https://bsky.app/profile/jayrosen.bsky.social/post/3mpwy7exfnk2x","2026-07-06T01:53:32.774Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpx25rhqfs24","https://bsky.app/profile/jayrosen.bsky.social/post/3mpx25rhqfs24","2026-07-06T02:28:26.266Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpyaoeyp7k2x","https://bsky.app/profile/jayrosen.bsky.social/post/3mpyaoeyp7k2x","2026-07-06T13:57:45.806Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpycjsebe224","https://bsky.app/profile/jayrosen.bsky.social/post/3mpycjsebe224","2026-07-06T14:30:59.526Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpye45mnxs2y","https://bsky.app/profile/jayrosen.bsky.social/post/3mpye45mnxs2y","2026-07-06T14:59:09.056Z","reply","self_thread_reply","admit","joe_tag_documents_archive_project","0.9","true","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mpyewzd3xc24","https://bsky.app/profile/jayrosen.bsky.social/post/3mpyewzd3xc24","2026-07-06T15:14:10.521Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq2rdpml7225","https://bsky.app/profile/jayrosen.bsky.social/post/3mq2rdpml7225","2026-07-07T14:01:20.932Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","true","BSKY-00001;BSKY-00006;BSKY-00054;BSKY-00055;BSKY-00058;BSKY-00110;BSKY-00111;BSKY-00115;BSKY-00142;BSKY-00155;BSKY-00156;BSKY-00157;BSKY-00188;BSKY-00295;BSKY-00373;BSKY-00374;BSKY-00536;BSKY-00614;BSKY-00615;BSKY-00628;BSKY-00673;BSKY-00677;BSKY-00690;BSKY-00705;BSKY-00706;BSKY-00709;BSKY-00735;BSKY-00736;BSKY-00762;BSKY-00766;BSKY-00780;BSKY-00883;BSKY-00988;BSKY-01007;BSKY-01008;BSKY-01040;BSKY-01046;BSKY-01075;BSKY-01127;BSKY-01230;BSKY-01265;BSKY-01296;BSKY-01299;BSKY-01349;BSKY-01355;BSKY-01373;BSKY-01379;BSKY-01391;BSKY-01396;BSKY-01397;BSKY-01409;BSKY-01482;BSKY-01483;BSKY-01485;BSKY-01486;BSKY-01515;BSKY-01530;BSKY-01532;BSKY-01617;BSKY-01702;BSKY-01739;BSKY-01786;BSKY-01813;BSKY-01844;BSKY-01899;BSKY-01953;BSKY-01969;BSKY-01977;BSKY-01995;BSKY-01997;BSKY-02027;BSKY-02070;BSKY-02071;BSKY-02082;BSKY-02102;BSKY-02103;BSKY-02109;BSKY-02375;BSKY-02389;BSKY-02470;BSKY-02545;BSKY-02548;BSKY-02580;BSKY-02583;BSKY-02636;BSKY-02657;BSKY-02663;BSKY-02678;BSKY-02679;BSKY-02720;BSKY-03074"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq35cboajk25","https://bsky.app/profile/jayrosen.bsky.social/post/3mq35cboajk25","2026-07-07T17:35:17.654Z","original","root","admit","joe_tag_documents_archive_project","0.9","true","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq3a65gi2c2m","https://bsky.app/profile/jayrosen.bsky.social/post/3mq3a65gi2c2m","2026-07-07T18:26:40.211Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","true","BSKY-00114"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq3c2kd2bk27","https://bsky.app/profile/jayrosen.bsky.social/post/3mq3c2kd2bk27","2026-07-07T19:00:26.999Z","reply","external_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq3wgdywtc25","https://bsky.app/profile/jayrosen.bsky.social/post/3mq3wgdywtc25","2026-07-08T01:04:57.862Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq3x74gq2c25","https://bsky.app/profile/jayrosen.bsky.social/post/3mq3x74gq2c25","2026-07-08T01:18:48.789Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq3zwujkhs25","https://bsky.app/profile/jayrosen.bsky.social/post/3mq3zwujkhs25","2026-07-08T02:07:53.283Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq42qktlcc25","https://bsky.app/profile/jayrosen.bsky.social/post/3mq42qktlcc25","2026-07-08T02:22:15.540Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq5eydhikc23","https://bsky.app/profile/jayrosen.bsky.social/post/3mq5eydhikc23","2026-07-08T14:58:13.396Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq5h64fxjc2x","https://bsky.app/profile/jayrosen.bsky.social/post/3mq5h64fxjc2x","2026-07-08T15:37:14.808Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq5yochuoc2r","https://bsky.app/profile/jayrosen.bsky.social/post/3mq5yochuoc2r","2026-07-08T20:50:31.653Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq7xes2g722v","https://bsky.app/profile/jayrosen.bsky.social/post/3mq7xes2g722v","2026-07-09T15:32:38.173Z","original","root","context_only","routine_or_context_dependent_activity","0.93","false","false","true","BSKY-00143;BSKY-00438;BSKY-00850;BSKY-01645;BSKY-01771;TWTR-08993;BSKY-03073"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mq7yvke2ak2k","https://bsky.app/profile/jayrosen.bsky.social/post/3mq7yvke2ak2k","2026-07-09T15:59:54.270Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqid5kkkm22k","https://bsky.app/profile/jayrosen.bsky.social/post/3mqid5kkkm22k","2026-07-12T23:24:38.248Z","reply","external_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqidtphfnc2k","https://bsky.app/profile/jayrosen.bsky.social/post/3mqidtphfnc2k","2026-07-12T23:37:01.583Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqiia27qpc23","https://bsky.app/profile/jayrosen.bsky.social/post/3mqiia27qpc23","2026-07-13T00:55:30.488Z","reply","external_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqiinr6ujc2g","https://bsky.app/profile/jayrosen.bsky.social/post/3mqiinr6ujc2g","2026-07-13T01:03:10.785Z","reply","external_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqjvewdlss2m","https://bsky.app/profile/jayrosen.bsky.social/post/3mqjvewdlss2m","2026-07-13T14:23:32.574Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqjy4lmn6s2h","https://bsky.app/profile/jayrosen.bsky.social/post/3mqjy4lmn6s2h","2026-07-13T15:12:34.122Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mql7xrtxcs2k","https://bsky.app/profile/jayrosen.bsky.social/post/3mql7xrtxcs2k","2026-07-14T03:05:42.558Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqlc6aakdk2k","https://bsky.app/profile/jayrosen.bsky.social/post/3mqlc6aakdk2k","2026-07-14T03:45:06.461Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqnrmzimls2t","https://bsky.app/profile/jayrosen.bsky.social/post/3mqnrmzimls2t","2026-07-15T03:27:08.303Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqntmnnh5k2h","https://bsky.app/profile/jayrosen.bsky.social/post/3mqntmnnh5k2h","2026-07-15T04:02:43.365Z","quote","root","admit","quote_adds_substantive_commentary","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqnttqb3v22h","https://bsky.app/profile/jayrosen.bsky.social/post/3mqnttqb3v22h","2026-07-15T04:06:40.988Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqnub56dvc2h","https://bsky.app/profile/jayrosen.bsky.social/post/3mqnub56dvc2h","2026-07-15T04:14:10.737Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqosrvaonc2p","https://bsky.app/profile/jayrosen.bsky.social/post/3mqosrvaonc2p","2026-07-15T13:20:25.104Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqrgeijyf22v","https://bsky.app/profile/jayrosen.bsky.social/post/3mqrgeijyf22v","2026-07-16T14:16:09.878Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqrikvorxs2o","https://bsky.app/profile/jayrosen.bsky.social/post/3mqrikvorxs2o","2026-07-16T14:55:32.483Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","true","BSKY-00001;BSKY-00006;BSKY-00054;BSKY-00055;BSKY-00058;BSKY-00110;BSKY-00111;BSKY-00115;BSKY-00142;BSKY-00155;BSKY-00156;BSKY-00157;BSKY-00188;BSKY-00295;BSKY-00373;BSKY-00374;BSKY-00536;BSKY-00614;BSKY-00615;BSKY-00628;BSKY-00673;BSKY-00677;BSKY-00690;BSKY-00705;BSKY-00706;BSKY-00709;BSKY-00735;BSKY-00736;BSKY-00762;BSKY-00766;BSKY-00780;BSKY-00883;BSKY-00988;BSKY-01007;BSKY-01008;BSKY-01040;BSKY-01046;BSKY-01075;BSKY-01127;BSKY-01230;BSKY-01265;BSKY-01296;BSKY-01299;BSKY-01349;BSKY-01355;BSKY-01373;BSKY-01379;BSKY-01391;BSKY-01396;BSKY-01397;BSKY-01409;BSKY-01482;BSKY-01483;BSKY-01485;BSKY-01486;BSKY-01515;BSKY-01530;BSKY-01532;BSKY-01617;BSKY-01702;BSKY-01739;BSKY-01786;BSKY-01813;BSKY-01844;BSKY-01899;BSKY-01953;BSKY-01969;BSKY-01977;BSKY-01995;BSKY-01997;BSKY-02027;BSKY-02070;BSKY-02071;BSKY-02082;BSKY-02102;BSKY-02103;BSKY-02109;BSKY-02375;BSKY-02389;BSKY-02470;BSKY-02545;BSKY-02548;BSKY-02580;BSKY-02583;BSKY-02636;BSKY-02657;BSKY-02663;BSKY-02678;BSKY-02679;BSKY-02720;BSKY-03074"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqrurc2eok2t","https://bsky.app/profile/jayrosen.bsky.social/post/3mqrurc2eok2t","2026-07-16T18:33:51.673Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqsfpdcvg22c","https://bsky.app/profile/jayrosen.bsky.social/post/3mqsfpdcvg22c","2026-07-16T23:36:59.503Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqsgenzn4k2c","https://bsky.app/profile/jayrosen.bsky.social/post/3mqsgenzn4k2c","2026-07-16T23:48:55.378Z","reply","self_thread_reply","context_only","context_dependent_correction","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqsi4mpn6k2j","https://bsky.app/profile/jayrosen.bsky.social/post/3mqsi4mpn6k2j","2026-07-17T00:20:13.050Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqsisljuok2c","https://bsky.app/profile/jayrosen.bsky.social/post/3mqsisljuok2c","2026-07-17T00:32:30.008Z","original","root","needs_review","image_context_needs_review","0.55","false","false","true","BSKY-00222;BSKY-01383;BSKY-01705;BSKY-02879;BSKY-03068;BSKY-03088"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqsjs4qu522c","https://bsky.app/profile/jayrosen.bsky.social/post/3mqsjs4qu522c","2026-07-17T00:50:08.253Z","reply","external_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqsk3pyra22c","https://bsky.app/profile/jayrosen.bsky.social/post/3mqsk3pyra22c","2026-07-17T00:55:30.423Z","reply","external_thread_reply","context_only","brief_personal_answer_only","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqsk6oxods2c","https://bsky.app/profile/jayrosen.bsky.social/post/3mqsk6oxods2c","2026-07-17T00:57:10.004Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqsnnwnwbk2e","https://bsky.app/profile/jayrosen.bsky.social/post/3mqsnnwnwbk2e","2026-07-17T01:59:22.612Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqsshsvgc22r","https://bsky.app/profile/jayrosen.bsky.social/post/3mqsshsvgc22r","2026-07-17T03:25:26.048Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqssjgyhyk2r","https://bsky.app/profile/jayrosen.bsky.social/post/3mqssjgyhyk2r","2026-07-17T03:26:20.674Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","true","BSKY-00036;BSKY-00056;BSKY-00243;BSKY-00362;BSKY-00422;BSKY-00429;BSKY-00443;BSKY-00540;BSKY-00551;BSKY-00578;BSKY-00587;BSKY-00627;BSKY-00634;BSKY-00739;BSKY-00757;BSKY-00970;BSKY-01031;BSKY-01175;BSKY-01193;BSKY-01238;BSKY-01290;BSKY-01341;BSKY-01357;BSKY-01368;BSKY-01388;BSKY-01402;BSKY-01442;BSKY-01484;BSKY-01518;BSKY-01565;BSKY-01728;BSKY-01889;BSKY-01923;BSKY-02023;BSKY-02045;BSKY-02054;BSKY-02324;TWTR-20183;BSKY-03082;BSKY-03089;BSKY-03118;BSKY-03121;BSKY-03130"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mquactzewk22","https://bsky.app/profile/jayrosen.bsky.social/post/3mquactzewk22","2026-07-17T17:05:51.575Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqubqdjhis22","https://bsky.app/profile/jayrosen.bsky.social/post/3mqubqdjhis22","2026-07-17T17:31:17.782Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mque6aacks22","https://bsky.app/profile/jayrosen.bsky.social/post/3mque6aacks22","2026-07-17T18:14:51.583Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mquegnyrt22b","https://bsky.app/profile/jayrosen.bsky.social/post/3mquegnyrt22b","2026-07-17T18:19:34.451Z","reply","self_thread_reply","admit","substantive_reply_adds_argument_evidence_or_analysis","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mquehrgmzk2b","https://bsky.app/profile/jayrosen.bsky.social/post/3mquehrgmzk2b","2026-07-17T18:20:11.606Z","reply","external_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mquit7w4z22r","https://bsky.app/profile/jayrosen.bsky.social/post/3mquit7w4z22r","2026-07-17T19:38:10.857Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqwjiswqrs2t","https://bsky.app/profile/jayrosen.bsky.social/post/3mqwjiswqrs2t","2026-07-18T14:55:34.923Z","original","root","admit","citizens_agenda_argument_evidence_or_analysis","0.9","false","true","false",""
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqzxhmsbhs2x","https://bsky.app/profile/jayrosen.bsky.social/post/3mqzxhmsbhs2x","2026-07-19T23:43:26.527Z","original","root","admit","original_adds_argument_evidence_or_serious_question","0.9","false","false","true","BSKY-00281"
"at://did:plc:3t37x6vfigdzzp2gjcfnzlz4/app.bsky.feed.post/3mqzydreabk2o","https://bsky.app/profile/jayrosen.bsky.social/post/3mqzydreabk2o","2026-07-19T23:59:10.837Z","reply","self_thread_reply","context_only","short_acknowledgement_or_context_dependent_reply","0.93","false","false","false",""
